domain,item,run_A,run_B,identical
energy_market_v1,content_hash,a94da2108f80470c,a94da2108f80470c,Yes
energy_market_v1,candidate_pool_digest,8c7f57d3b0e0f32e,8c7f57d3b0e0f32e,Yes
energy_market_v1,exogenous_digest,a002f37cf1727a87,a002f37cf1727a87,Yes
energy_market_v1,metrics_digest,a440d82397c1da1b,a440d82397c1da1b,Yes
energy_market_v1,branches_digest,a62080d3fbe7acf6,a62080d3fbe7acf6,Yes
epidemic_policy_v1,content_hash,828a50e73d4de617,828a50e73d4de617,Yes
epidemic_policy_v1,candidate_pool_digest,dfb1494ddd0722fc,dfb1494ddd0722fc,Yes
epidemic_policy_v1,exogenous_digest,45b3604cc30b7c24,45b3604cc30b7c24,Yes
epidemic_policy_v1,metrics_digest,1b915aa0257eec4e,1b915aa0257eec4e,Yes
epidemic_policy_v1,branches_digest,8f42cf01a7b629f8,8f42cf01a7b629f8,Yes
