domain,scenario,seed,round,condition,metric,d_local,d_trajectory,attribution_error,attribution_error_normalized,sign_disagreement,trajectory_history_distance,rank_disagreement
energy_market_v1,baseline_v1,1,1,random_valid,clearing_price,58.6232,58.6232,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,1,random_valid,consumer_cost,4736.2572,4736.2572,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,1,random_valid,generator_profit_total,55.31209999999919,55.31209999999919,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,1,random_valid,renewable_share,-0.5023,-0.5023,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,1,random_valid,total_emissions,-67.8913,-67.8913,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,1,random_valid,unserved_energy,97.1391,97.1391,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,2,random_valid,clearing_price,121.38419999999999,121.38419999999999,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,2,random_valid,consumer_cost,33399.6804,33399.6804,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,2,random_valid,generator_profit_total,34511.101599999995,34511.101599999995,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,2,random_valid,renewable_share,0.012900000000000023,0.012900000000000023,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,2,random_valid,total_emissions,-98.8867,-98.8867,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,2,random_valid,unserved_energy,301.5751,301.5751,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,3,random_valid,clearing_price,278.0928,278.0928,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,3,random_valid,consumer_cost,181976.0943,181976.0943,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,3,random_valid,generator_profit_total,153774.0769,153774.0769,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,3,random_valid,renewable_share,-0.08499999999999999,-0.08499999999999999,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,3,random_valid,total_emissions,20.121800000000007,20.121800000000007,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,3,random_valid,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,4,random_valid,clearing_price,20.494699999999995,20.494699999999995,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,4,random_valid,consumer_cost,-26857.492400000003,-26857.492400000003,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,4,random_valid,generator_profit_total,-4608.762199999999,-4608.762199999999,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,4,random_valid,renewable_share,0.6426000000000001,0.6426000000000001,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,4,random_valid,total_emissions,-273.9318,-273.9318,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,4,random_valid,unserved_energy,385.6977,385.6977,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,5,random_valid,clearing_price,154.5327,154.5327,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,5,random_valid,consumer_cost,4585.548299999995,4585.548299999995,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,5,random_valid,generator_profit_total,14997.6917,14997.6917,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,5,random_valid,renewable_share,0.14279999999999998,0.14279999999999998,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,5,random_valid,total_emissions,-166.4821,-166.4821,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,5,random_valid,unserved_energy,204.3496,204.3496,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,6,random_valid,clearing_price,-6.977800000000002,-6.977800000000002,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,6,random_valid,consumer_cost,-12579.130999999998,-12579.130999999998,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,6,random_valid,generator_profit_total,-16276.643799999998,-16276.643799999998,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,6,random_valid,renewable_share,-0.4813,-0.4813,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,6,random_valid,total_emissions,71.30589999999998,71.30589999999998,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,6,random_valid,unserved_energy,74.767,74.767,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,1,top_score,clearing_price,-1.1443000000000012,-1.1443000000000012,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,1,top_score,consumer_cost,-13291.912199999999,-13291.912199999999,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,1,top_score,generator_profit_total,1296.4723999999987,1296.4723999999987,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,1,top_score,renewable_share,0.2592,0.2592,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,1,top_score,total_emissions,-170.8205,-170.8205,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,1,top_score,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,2,top_score,clearing_price,-33.1294,-33.1294,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,2,top_score,consumer_cost,-23434.076299999997,-23434.076299999997,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,2,top_score,generator_profit_total,-10888.130699999998,-10888.130699999998,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,2,top_score,renewable_share,0.4363,0.4363,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,2,top_score,total_emissions,-167.55190000000002,-167.55190000000002,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,2,top_score,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,3,top_score,clearing_price,-8.9208,-8.9208,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,3,top_score,consumer_cost,-15058.271999999997,-15058.271999999997,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,3,top_score,generator_profit_total,-1032.8420000000006,-1032.8420000000006,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,3,top_score,renewable_share,0.1582,0.1582,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,3,top_score,total_emissions,-203.30200000000002,-203.30200000000002,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,3,top_score,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,4,top_score,clearing_price,1.5,1.5,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,4,top_score,consumer_cost,-20154.066000000003,-20154.066000000003,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,4,top_score,generator_profit_total,-2674.4359999999997,-2674.4359999999997,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,4,top_score,renewable_share,0.37979999999999997,0.37979999999999997,0.0,0.0,False,,False
energy_market_v1,baseline_v1,1,4,top_score,total_emissions,-246.7793,-246.7793,0.0,0.0,False,,False
