run_id,domain,round,metric,value
sumo_transfer_v1-101,sumo_transfer_v1,1,waiting_time,0.0
sumo_transfer_v1-101,sumo_transfer_v1,2,waiting_time,0.0
sumo_transfer_v1-101,sumo_transfer_v1,3,waiting_time,0.0
sumo_transfer_v1-101,sumo_transfer_v1,4,waiting_time,5.0
sumo_transfer_v1-101,sumo_transfer_v1,5,waiting_time,16.0
sumo_transfer_v1-101,sumo_transfer_v1,6,waiting_time,37.0
sumo_transfer_v1-101,sumo_transfer_v1,7,waiting_time,73.0
sumo_transfer_v1-101,sumo_transfer_v1,8,waiting_time,130.0
sumo_transfer_v1-101,sumo_transfer_v1,9,waiting_time,194.0
sumo_transfer_v1-101,sumo_transfer_v1,10,waiting_time,190.0
