round,branch,metric,value
1,applied,waiting_time,0.0
1,authoritative,waiting_time,0.0
2,applied,waiting_time,0.0
2,authoritative,waiting_time,0.0
3,applied,waiting_time,0.0
3,authoritative,waiting_time,0.0
4,applied,waiting_time,4.0
4,authoritative,waiting_time,2.0
5,applied,waiting_time,16.0
5,authoritative,waiting_time,16.0
6,applied,waiting_time,32.0
6,authoritative,waiting_time,34.0
7,applied,waiting_time,62.0
7,authoritative,waiting_time,63.0
8,applied,waiting_time,110.0
8,authoritative,waiting_time,89.0
9,applied,waiting_time,175.0
9,authoritative,waiting_time,174.0
10,applied,waiting_time,259.0
10,authoritative,waiting_time,261.0
