run_id,domain,round,metric,applied,authoritative,divergence
sumo_transfer_v1-108,sumo_transfer_v1,1,waiting_time,0.0,0.0,0.0
sumo_transfer_v1-108,sumo_transfer_v1,2,waiting_time,0.0,0.0,0.0
sumo_transfer_v1-108,sumo_transfer_v1,3,waiting_time,0.0,0.0,0.0
sumo_transfer_v1-108,sumo_transfer_v1,4,waiting_time,4.0,2.0,2.0
sumo_transfer_v1-108,sumo_transfer_v1,5,waiting_time,16.0,16.0,0.0
sumo_transfer_v1-108,sumo_transfer_v1,6,waiting_time,32.0,34.0,-2.0
sumo_transfer_v1-108,sumo_transfer_v1,7,waiting_time,62.0,63.0,-1.0
sumo_transfer_v1-108,sumo_transfer_v1,8,waiting_time,110.0,89.0,21.0
sumo_transfer_v1-108,sumo_transfer_v1,9,waiting_time,175.0,174.0,1.0
sumo_transfer_v1-108,sumo_transfer_v1,10,waiting_time,259.0,261.0,-2.0
