round,branch,metric,value
1,applied,waiting_time,0.0
1,authoritative,waiting_time,0.0
2,applied,waiting_time,0.0
2,authoritative,waiting_time,0.0
3,applied,waiting_time,0.0
3,authoritative,waiting_time,0.0
4,applied,waiting_time,5.0
4,authoritative,waiting_time,5.0
5,applied,waiting_time,16.0
5,authoritative,waiting_time,16.0
6,applied,waiting_time,35.0
6,authoritative,waiting_time,35.0
7,applied,waiting_time,67.0
7,authoritative,waiting_time,62.0
8,applied,waiting_time,99.0
8,authoritative,waiting_time,121.0
9,applied,waiting_time,123.0
9,authoritative,waiting_time,118.0
10,applied,waiting_time,205.0
10,authoritative,waiting_time,203.0
